[Message: Preloader] BepInEx 6.0.0-be.738 - Supermarket Simulator (19/11/2025 19:08:08)
[Message: Preloader] Built from commit af0cba71fb69324aa4dfd651422bfa020309ce15
[Info   :   BepInEx] System platform: Windows 10 64-bit
[Info   :   BepInEx] Process bitness: 64-bit (x64)
[Info   :   BepInEx] Running under Unity 6000.1.17f1
[Info   :   BepInEx] Runtime version: 6.0.7
[Info   :   BepInEx] Runtime information: .NET 6.0.7
[Info   : Preloader] 0 patcher plugins loaded
[Info   : Preloader] 0 assemblies discovered
[Message:AssemblyPatcher] Executing 0 patch(es)
[Message:   BepInEx] Chainloader initialized
[Debug  : Preloader] Runtime invoke pointer: 0x7FFE2DBF7A70
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DBF7A70 to 0x7FFE133B3264
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC00000
[Debug  :DobbyDetour] Original: 7FFE2DBF7A70, Trampoline: 7FFDEDC00000, diff: 3FFF7A70
[Debug  : Preloader] Runtime invoke patched
[Debug  :Il2CppInterop] il2cpp_object_get_virtual_method: 0x7FFE2DBF7970
[Debug  :Il2CppInterop] Object::GetVirtualMethod: 0x7FFE2DBD6D10
[Debug  :Il2CppInterop] GenericMethod::GetMethod found: 0x7FFE2DC06AB0
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DC06AB0 to 0x7FFE133B32A4
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC10000
[Debug  :DobbyDetour] Original: 7FFE2DC06AB0, Trampoline: 7FFDEDC10000, diff: 3FFF6AB0
[Debug  :Il2CppInterop] il2cpp_image_get_class: 0x7FFE2DBF7620
[Debug  :Il2CppInterop] Image::GetType: 0x7FFE2DBFDD90
[Debug  :Il2CppInterop] imageGetTypeXrefs.Length: 2
[Debug  :Il2CppInterop] getTypeInfoFromHandle: 7FFE2DBE5C30
[Debug  :Il2CppInterop] MetadataCache::GetTypeInfoFromTypeDefinitionIndex found: 0x7FFE2DBA9030
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DBA9030 to 0x7FFE133B32E4
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC00020
[Debug  :DobbyDetour] Original: 7FFE2DBA9030, Trampoline: 7FFDEDC00020, diff: 3FFA9010
[Debug  :Il2CppInterop] Class::GetDefaultFieldValue found: 0x7FFE2DBA7A00
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DBA7A00 to 0x7FFE133B3324
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC00040
[Debug  :DobbyDetour] Original: 7FFE2DBA7A00, Trampoline: 7FFDEDC00040, diff: 3FFA79C0
[Warning:Il2CppInterop] Class::Init signatures have been exhausted, using a substitute!
[Debug  :Il2CppInterop] Picked mono_class_instance_size as a Class::Init substitute
[Debug  :Il2CppInterop] Class::Init: 0x7FFE2DBF8290
[Debug  :Il2CppInterop] il2cpp_class_from_il2cpp_type: 0x7FFE2DB9E7E0
[Debug  :Il2CppInterop] Class::FromIl2CppType found: 0x7FFE2DBE28E0
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DBE28E0 to 0x7FFE133B3364
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC00060
[Debug  :DobbyDetour] Original: 7FFE2DBE28E0, Trampoline: 7FFDEDC00060, diff: 3FFE2880
[Debug  :Il2CppInterop] il2cpp_class_from_name: 0x7FFE2DBF6F20
[Debug  :Il2CppInterop] Class::FromName found: 0x7FFE2DBE2E40
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DBE2E40 to 0x7FFE133B33A4
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC00080
[Debug  :DobbyDetour] Original: 7FFE2DBE2E40, Trampoline: 7FFDEDC00080, diff: 3FFE2DC0
[Debug  :Il2CppInterop] GarbageCollector::RunFinalizer found: 0x7FFE2DBD27D0
[Debug  :DobbyDetour] Preparing detour from 0x7FFE2DBD27D0 to 0x7FFE133B33E4
[Debug  :DobbyDetour] Prepared detour; Trampoline: 0x7FFDEDC000A0
[Debug  :DobbyDetour] Original: 7FFE2DBD27D0, Trampoline: 7FFDEDC000A0, diff: 3FFD2730
[Info   :Il2CppInterop] Registered mono type Il2CppInterop.Runtime.DelegateSupport+Il2CppToMonoDelegateReference in il2cpp domain
[Debug  :     Unity] Test call after applying unity logging hook
